,entrez,Genesym
295,10006,ABI1
296,10084,PQBP1
297,1730,DIAPH2
298,1729,DIAPH1
299,1660,DHX9
300,1665,DHX15
301,1654,DDX3X
302,10291,SF3A1
303,10262,SF3B4
304,6421,SFPQ
305,10657,KHDRBS1
306,10521,DDX17
307,10523,CHERP
308,6124,RPL4
309,84991,RBM17
310,26986,PABPC1
311,26999,CYFIP2
312,8976,WASL
313,10992,SF3B2
314,10946,SF3A3
315,9879,DDX46
316,9967,THRAP3
317,3190,HNRNPK
318,3187,HNRNPH1
319,79869,CPSF7
320,5725,PTBP1
321,11338,U2AF2
322,51729,WBP11
323,11052,CPSF6
324,90324,CCDC97
325,23191,CYFIP1
326,7536,SF1
327,7454,WAS
328,7456,WIPF1
329,23450,SF3B3
330,23451,SF3B1
331,8570,KHSRP
332,147179,WIPF2
333,27336,HTATSF1
334,6418,SET
335,8175,SF3A2
336,56252,YLPM1
337,4841,NONO
338,4904,YBX1
339,301,ANXA1
340,4851,NOTCH1
341,23327,NEDD4L
342,4738,NEDD8
343,8450,CUL4B
344,9733,SART3
345,57823,SLAMF7
346,81890,QTRT1
347,23295,MGRN1
348,7059,THBS3
349,323,APBB2
350,84108,PCGF6
351,200728,TMEM17
352,51259,TMEM216
353,80817,CEP44
354,9731,CEP104
355,84461,NEURL4
356,85360,SYDE1
357,641,BLM
358,182,JAG1
359,23064,SETX
360,6855,SYP
361,8924,HERC2
362,9148,NEURL1
363,132001,TAMM41
364,79877,DCAKD
365,4005,LMO2
366,55872,PBK
367,369,ARAF
368,1739,DLG1
369,4591,TRIM37
370,2874,GPS2
371,4089,SMAD4
372,891,CCNB1
373,9737,GPRASP1
374,57562,CEP126
375,7157,TP53
376,5894,RAF1
377,81552,VOPP1
378,4155,MBP
379,114928,GPRASP2
380,983,CDK1
381,3014,H2AFX
382,84708,LNX1
383,1874,E2F4
384,1459,CSNK2A2
385,7015,TERT
386,5052,PRDX1
387,4744,NEFH
388,4637,MYL6
389,4627,MYH9
390,345651,ACTBL2
391,6169,RPL38
392,6167,RPL37
393,6173,RPL36A
394,6147,RPL23A
395,6143,RPL19
396,6146,RPL22
397,6159,RPL29
398,6152,RPL24
399,6194,RPS6
400,6191,RPS4X
401,6188,RPS3
402,6205,RPS11
403,6208,RPS14
404,6218,RPS17
405,6217,RPS16
406,6228,RPS23
407,6229,RPS24
408,6223,RPS19
409,6222,RPS18
410,6235,RPS29
411,6233,RPS27A
412,6230,RPS25
413,5646,PRSS3
414,388697,HRNR
415,5928,RBBP4
416,5931,RBBP7
417,7431,VIM
418,80055,PGAP1
419,6734,SRPRA
420,8078,USP5
421,10935,PRDX3
422,10923,SUB1
423,9349,RPL23
424,11224,RPL35
425,11273,ATXN2L
426,121504,HIST4H4
427,1457,CSNK2A1
428,1460,CSNK2B
429,203068,TUBB
430,1823,DSC1
431,1828,DSG1
432,1832,DSP
433,11051,NUDT21
434,2670,GFAP
435,2197,FAU
436,57470,LRRC47
437,117159,DCD
438,31,ACACA
439,3728,JUP
440,3240,HP
441,3303,HSPA1A
442,3312,HSPA8
443,3320,HSP90AA1
444,3326,HSP90AB1
445,3043,HBB
446,3039,HBA1
447,3006,HIST1H1C
448,3005,H1F0
449,3008,HIST1H1E
450,3189,HNRNPH3
451,3192,HNRNPU
452,29966,STRN3
453,284194,LGALS9B
454,339287,MSL1
455,55715,DOK4
456,57684,ZBTB26
457,92714,ARRDC1
458,55734,ZFP64
459,3965,LGALS9
460,10482,NXF1
461,5728,PTEN
462,6714,SRC
463,27037,TRMT2A
464,2244,FGB
465,90655,TGIF2LY
466,84330,ZNF414
467,22836,RHOBTB3
468,284467,FAM19A3
469,11017,SNRNP27
470,55743,CHFR
471,64601,VPS16
472,8417,STX7
473,57617,VPS18
474,55823,VPS11
475,65082,VPS33A
476,7405,UVRAG
477,22879,MON1B
478,64400,AKTIP
479,29911,HOOK2
480,84376,HOOK3
481,55720,TSR1
482,23063,WAPL
483,3842,TNPO1
484,27072,VPS41
485,54967,CT55
486,5316,PKNOX1
487,83547,RILP
488,9392,TGFBRAP1
489,91,ACVR1B
490,116541,MRPL54
491,64427,TTC31
492,64960,MRPS15
493,23355,VPS8
494,23438,HARS2
495,5747,PTK2
496,5694,PSMB6
497,51373,MRPS17
498,114904,C1QTNF6
499,2475,MTOR
500,3075,CFH
501,4914,NTRK1
502,10527,IPO7
503,10079,ATP9A
504,168850,ZNF800
505,80004,ESRP2
506,8554,PIAS1
507,55660,PRPF40A
508,55781,RIOK2
509,57179,KIAA1191
510,55014,STX17
511,2041,EPHA1
512,27304,MOCS3
513,83648,FAM167A
514,147719,LYPD4
515,9895,TECPR2
516,9108,MTMR7
517,84074,QRICH2
518,10534,SSSCA1
519,6615,SNAI1
520,9526,MPDU1
521,2597,GAPDH
522,80025,PANK2
523,4113,MAGEB2
524,7260,TSSC1
525,3205,HOXA9
526,7205,TRIP6
527,5359,PLSCR1
528,11030,RBPMS
529,4792,NFKBIA
530,3725,JUN
531,1387,CREBBP
532,4087,SMAD2
533,4211,MEIS1
534,4212,MEIS2
535,5087,PBX1
536,5089,PBX2
537,5090,PBX3
538,8451,CUL4A
539,10419,PRMT5
540,23512,SUZ12
541,9991,PTBP3
542,10481,HOXB13
543,2002,ELK1
544,60529,ALX4
545,3662,IRF4
546,3233,HOXD4
547,5451,POU2F1
548,57474,ZNF490
549,6045,RNF2
550,8726,EED
551,2303,FOXC2
552,2307,FOXS1
553,2290,FOXG1
554,2304,FOXE1
555,3170,FOXA2
556,8463,TEAD2
557,2294,FOXF1
558,3552,IL1A
559,823,CAPN1
560,3554,IL1R1
561,7850,IL1R2
562,6284,S100A13
563,4692,NDN
564,3556,IL1RAP
565,4794,NFKBIE
566,10456,HAX1
567,834,CASP1
568,81858,SHARPIN
569,4223,MEOX2
570,23633,KPNA6
571,11067,C10orf10
572,3880,KRT19
573,3866,KRT15
574,11007,CCDC85B
575,83878,USHBP1
576,9444,QKI
577,26292,MYCBP
578,373,TRIM23
579,2166,FAAH
580,4311,MME
581,388677,NOTCH2NL
582,2623,GATA1
583,6688,SPI1
584,2313,FLI1
585,23414,ZFPM2
586,5469,MED1
587,10014,HDAC5
588,7704,ZBTB16
589,1053,CEBPE
590,6774,STAT3
591,5594,MAPK1
592,5595,MAPK3
593,23462,HEY1
594,161882,ZFPM1
595,207,AKT1
596,3308,HSPA4
597,836,CASP3
598,25925,ZNF521
599,8841,HDAC3
600,9759,HDAC4
601,8289,ARID1A
602,6597,SMARCA4
603,6601,SMARCC2
604,6599,SMARCC1
605,6602,SMARCD1
606,6605,SMARCE1
607,6598,SMARCB1
608,6886,TAL1
609,6667,SP1
610,9282,MED14
611,9440,MED17
612,23650,TRIM29
613,7706,TRIM25
614,30851,TAX1BP3
615,10743,RAI1
616,10320,IKZF1
617,26009,ZZZ3
618,4830,NME1
619,9278,ZBTB22
620,6497,SKI
621,6879,TAF7
622,5597,MAPK6
623,7341,SUMO1
624,10011,SRA1
625,6689,SPIB
626,10817,FRS3
627,386680,KRTAP10-5
628,85302,FBF1
629,3198,HOXA1
630,170506,DHX36
631,83899,KRTAP9-2
632,124790,HEXIM2
633,149473,CCDC24
634,55698,RADIL
635,79890,RIN3
636,23371,TNS2
637,5371,PML
638,2033,EP300
639,55363,HEMGN
640,84445,LZTS2
641,4188,MDFI
642,83897,KRTAP3-2
643,29947,DNMT3L
644,26043,UBXN7
645,197131,UBR1
646,8454,CUL1
647,8453,CUL2
648,7428,VHL
649,8452,CUL3
650,55666,NPLOC4
651,7353,UFD1L
652,9373,PLAA
653,3091,HIF1A
654,254065,BRWD3
655,23304,UBR2
656,6500,SKP1
657,84861,KLHL22
658,267,AMFR
659,23352,UBR4
660,80232,WDR26
661,6923,ELOB
662,9867,PJA2
663,329,BIRC2
664,54014,BRWD1
665,59349,KLHL12
666,23588,KLHDC2
667,116138,KLHDC3
668,84078,KBTBD7
669,90293,KLHL13
670,9978,RBX1
671,51366,UBR5
672,10210,TOPORS
673,9730,DCAF1
674,6921,ELOC
675,5708,PSMD2
676,25948,KBTBD2
677,55717,WDR11
678,6613,SUMO2
679,250,ALPP
680,54949,SDHAF2
681,9406,ZRANB2
682,9559,VPS26A
683,6817,SULT1A1
684,5887,RAD23B
685,9296,ATP6V1F
686,23170,TTLL12
687,7321,UBE2D1
688,11065,UBE2C
689,10101,NUBP2
690,10413,YAP1
691,7347,UCHL3
692,7791,ZYX
693,7332,UBE2L3
694,8882,ZPR1
695,140809,SRXN1
696,8239,USP9X
697,54878,DPP8
698,10277,UBE4B
699,7320,UBE2B
700,54585,LZTFL1
701,54888,NSUN2
702,84936,ZFYVE19
703,10484,SEC23A
704,5019,OXCT1
705,7322,UBE2D2
706,7298,TYMS
707,7336,UBE2V2
708,51569,UFM1
709,51506,UFC1
710,9736,USP34
711,526,ATP6V1B2
712,4214,MAP3K1
713,83795,KCNK16
714,114781,BTBD9
715,81788,NUAK2
716,80854,SETD7
717,1477,CSTF1
718,1454,CSNK1E
719,80124,VCPIP1
720,2071,ERCC3
721,79058,ASPSCR1
722,10712,FAM189B
723,79065,ATG9A
724,157769,FAM91A1
725,402415,XKRX
726,253980,KCTD13
727,54778,RNF111
728,51035,UBXN1
729,127428,TCEANC2
730,9643,MORF4L2
731,23197,FAF2
732,23,ABCF1
733,23008,KLHDC10
734,55968,NSFL1C
735,7126,TNFAIP1
736,26953,RANBP6
737,1161,ERCC8
738,55023,PHIP
739,11124,FAF1
740,5454,POU3F2
741,84295,PHF6
742,57154,SMURF1
743,83892,KCTD10
744,1456,CSNK1G3
745,51444,RNF138
746,3839,KPNA3
747,3833,KIFC1
748,10584,COLEC10
749,8614,STC2
750,127829,ARL8A
751,7078,TIMP3
752,10609,P3H4
753,5806,PTX3
754,167227,DCP2
755,4925,NUCB2
756,83729,INHBE
757,90550,MCU
758,23127,COLGALT2
759,4189,DNAJB9
760,375056,MIA3
761,441518,FAM127C
762,8988,HSPB3
763,79839,CCDC102B
764,3860,KRT13
765,6871,TADA2A
766,211,ALAS1
767,23089,PEG10
768,29113,C6orf15
769,6857,SYT1
770,9899,SV2B
771,8128,ST8SIA2
772,257240,KLHL34
773,10726,NUDC
774,23386,NUDCD3
775,9531,BAG3
776,573,BAG1
777,10273,STUB1
778,10576,CCT2
779,10963,STIP1
780,3306,HSPA2
781,3310,HSPA6
782,10768,AHCYL1
783,3708,ITPR1
784,9146,HGS
785,126119,JOSD2
786,84132,USP42
787,57599,WDR48
788,84464,SLX4
789,5298,PI4KB
790,6732,SRPK1
791,6733,SRPK2
792,84296,GINS4
793,8724,SNX3
794,84617,TUBB6
795,8407,TAGLN2
796,84993,UBL7
797,8027,STAM
798,23435,TARDBP
799,871,SERPINH1
800,146691,TOM1L2
801,55236,UBA6
802,7295,TXN
803,7265,TTC1
804,83442,SH3BGRL3
805,7169,TPM2
806,7168,TPM1
807,7165,TPD52L2
808,7311,UBA52
809,7090,TLE3
810,7086,TKT
811,22948,CCT5
812,22929,SEPHS1
813,63892,THADA
814,6426,SRSF1
815,6449,SGTA
816,29766,TMOD3
817,29934,SNX12
818,29968,PSAT1
819,6902,TBCA
820,56893,UBQLN4
821,6672,SP100
822,6626,SNRPA
823,6623,SNCG
824,6697,SPR
825,6778,STAT6
826,57698,SHTN1
827,8270,LAGE3
828,10054,UBA2
829,5515,PPP2CA
830,283237,TTC9C
831,10015,PDCD6IP
832,10460,TACC3
833,10910,SUGT1
834,10802,SEC24A
835,10728,PTGES3
836,10944,C11orf58
837,11075,STMN2
838,3925,STMN1
839,1894,ECT2
840,9632,SEC24C
841,10421,CD2BP2
842,53938,PPIL3
843,25942,SIN3A
844,5496,PPM1G
845,26136,TES
846,6657,SOX2
847,220965,FAM13C
848,23194,FBXL7
849,23144,ZC3H3
850,1031,CDKN2C
851,2669,GEM
852,55311,ZNF444
853,1602,DACH1
854,5308,PITX2
855,5493,PPL
856,4343,MOV10
857,11063,SOX30
858,1896,EDA
859,7718,ZNF165
860,9963,SLC23A1
861,637,BID
862,5715,PSMD9
863,191,AHCY
864,3225,HOXC9
865,126868,MAB21L3
866,1659,DHX8
867,10197,PSME3
868,10480,EIF3M
869,1892,ECHS1
870,5805,PTS
871,8125,ANP32A
872,81611,ANP32E
873,5710,PSMD4
874,5718,PSMD12
875,7170,TPM3
876,708,C1QBP
877,9861,PSMD6
878,10541,ANP32B
879,2298,FOXD4
880,91608,RASL10B
881,11099,PTPN21
882,409,ARRB2
883,5305,PIP4K2A
884,10127,ZNF263
885,55722,CEP72
886,10061,ABCF2
887,23382,AHCYL2
888,79012,CAMKV
889,55669,MFN1
890,578,BAK1
891,8848,TSC22D1
892,57506,MAVS
893,54708,MARCH5
894,51643,TMBIM4
895,3608,ILF2
896,10769,PLK2
897,54977,SLC25A38
898,56993,TOMM22
899,9927,MFN2
900,2318,FLNC
901,56660,KCNK12
902,8313,AXIN2
903,1995,ELAVL3
904,2130,EWSR1
905,1993,ELAVL2
906,90441,ZNF622
907,4846,NOS3
908,2,A2M
909,5195,PEX14
910,2935,GSPT1
911,1029,CDKN2A
912,23708,GSPT2
913,331,XIAP
914,2107,ETF1
915,330,BIRC3
916,4163,MCC
917,8793,TNFRSF10D
918,382,ARF6
919,3106,HLA-B
920,8412,BCAR3
921,5564,PRKAB1
922,10284,SAP18
923,9641,IKBKE
924,5976,UPF1
925,2100,ESR2
926,8678,BECN1
927,22938,SNW1
928,5295,PIK3R1
929,9768,PCLAF
930,25988,HINFP
931,8449,DHX16
932,10537,UBD
933,3416,IDE
934,528,ATP6V1C1
935,2017,CTTN
936,9939,RBM8A
937,5962,RDX
938,10533,ATG7
939,23168,RTF1
940,23049,SMG1
941,6643,SNX2
942,6709,SPTAN1
943,8761,PABPC4
944,8607,RUVBL1
945,1975,EIF4B
946,6642,SNX1
947,4174,MCM5
948,1938,EEF2
949,1132,CHRM4
950,55211,DPPA4
951,7411,VBP1
952,246777,SPESP1
953,4067,LYN
954,1811,SLC26A3
955,9368,SLC9A3R1
956,9351,SLC9A3R2
957,1937,EEF1G
958,57178,ZMIZ1
959,367,AR
960,26047,CNTNAP2
961,57685,CACHD1
962,9882,TBC1D4
963,9061,PAPSS1
964,10401,PIAS3
965,4088,SMAD3
966,54093,SETD4
967,9774,BCLAF1
968,9794,MAML1
969,23411,SIRT1
970,10155,TRIM28
971,1499,CTNNB1
972,1236,CCR7
973,2113,ETS1
974,3516,RBPJ
975,4775,NFATC3
976,672,BRCA1
977,6304,SATB1
978,6932,TCF7
979,6935,ZEB1
980,55145,THAP1
981,5074,PAWR
982,163,AP2B1
983,1856,DVL2
984,5252,PHF1
985,9513,FXR2
986,79576,NKAP
987,79169,C1orf35
988,55342,STRBP
989,138046,RALYL
990,54819,ZCCHC10
991,79797,ZNF408
992,3054,HCFC1
993,988,CDC5L
994,25828,TXN2
995,51603,METTL13
996,201181,ZNF385C
997,55093,WDYHV1
998,81488,POLR2M
999,286499,FAM133A
1000,8227,AKAP17A
1001,26330,GAPDHS
1002,10569,SLU7
1003,7525,YES1
1004,84310,C7orf50
1005,9360,PPIG
1006,65003,MRPL11
1007,55216,C11orf57
1008,386675,KRTAP10-7
1009,92906,HNRNPLL
1010,7726,TRIM26
1011,92129,RIPPLY1
1012,55668,GPATCH2L
1013,55022,PID1
1014,9584,RBM39
1015,9529,BAG5
1016,122183,PRR20A
1017,5441,POLR2L
1018,220108,FAM124A
1019,11258,DCTN3
1020,50717,DCAF8
1021,11278,KLF12
1022,1106,CHD2
1023,29115,SAP30BP
1024,3927,LASP1
1025,6919,TCEA2
1026,10142,AKAP9
1027,10169,SERF2
1028,10933,MORF4L1
1029,705,BYSL
1030,11332,ACOT7
1031,7188,TRAF5
1032,254173,TTLL10
1033,51329,ARL6IP4
1034,729250,PRR20E
1035,121536,AEBP2
1036,1027,CDKN1B
1037,60312,AFAP1
1038,5578,PRKCA
1039,5579,PRKCB
1040,5581,PRKCE
1041,5580,PRKCD
1042,5582,PRKCG
1043,5590,PRKCZ
1044,58,ACTA1
1045,70,ACTC1
1046,4609,MYC
1047,399687,MYO18A
1048,80179,MYO19
1049,2580,GAK
1050,55930,MYO5C
1051,4641,MYO1C
1052,22919,MAPRE1
1053,54443,ANLN
1054,11346,SYNPO
1055,2316,FLNA
1056,1627,DBN1
1057,1017,CDK2
1058,51474,LIMA1
1059,22974,TPX2
1060,5500,PPP1CB
1061,8826,IQGAP1
1062,2132,EXT2
1063,10494,STK25
1064,11235,PDCD10
1065,8428,STK24
1066,5518,PPP2R1A
1067,6801,STRN
1068,85369,STRIP1
1069,5519,PPP2R1B
1070,29888,STRN4
1071,55917,CTTNBP2NL
1072,80143,SIKE1
1073,57464,STRIP2
1074,6950,TCP1
1075,26127,FGFR1OP2
1076,25843,MOB4
1077,57602,USP36
1078,5783,PTPN13
1079,83605,CCM2
1080,83992,CTTNBP2
1081,51765,STK26
1082,80342,TRAF3IP3
1083,51719,CAB39
1084,7323,UBE2D3
1085,4734,NEDD4
1086,120892,LRRK2
1087,8655,DYNLL1
1088,57551,TAOK1
1089,5516,PPP2CB
1090,347733,TUBB2B
1091,3305,HSPA1L
1092,3329,HSPD1
1093,3009,HIST1H1B
1094,3181,HNRNPA2B1
1095,2521,FUS
1096,2194,FASN
1097,192111,PGAM5
1098,1124,CHN2
1099,1267,CNP
1100,9131,AIFM1
1101,9532,BAG2
1102,64087,MCCC2
1103,8471,IRS4
1104,8971,H1FX
1105,54504,CPVL
1106,78990,OTUB2
1107,51602,NOP58
1108,7531,YWHAE
1109,32,ACACB
1110,7203,CCT3
1111,7284,TUFM
1112,790,CAD
1113,92609,TIMM50
1114,55210,ATAD3A
1115,498,ATP5A1
1116,488,ATP2A2
1117,6712,SPTBN2
1118,293,SLC25A6
1119,292,SLC25A5
1120,213,ALB
1121,51065,RPS27L
1122,51002,TPRKB
1123,908,CCT6A
1124,6158,RPL28
1125,6187,RPS2
1126,6189,RPS3A
1127,6160,RPL31
1128,6232,RPS27
1129,6280,S100A9
1130,6279,S100A8
1131,6278,S100A7
1132,5700,PSMC1
1133,5705,PSMC5
1134,5706,PSMC6
1135,5707,PSMD1
1136,5701,PSMC2
1137,5702,PSMC3
1138,5704,PSMC4
1139,5687,PSMA6
1140,5686,PSMA5
1141,5689,PSMB1
1142,5688,PSMA7
1143,5693,PSMB5
1144,5690,PSMB2
1145,5520,PPP2R2A
1146,5591,PRKDC
