,entrez,Genesym
4003,4793,NFKBIB
4004,11151,CORO1A
4005,3081,HGD
4006,7247,TSN
4007,5957,RCVRN
4008,722,C4BPA
4009,2990,GUSB
4010,2643,GCH1
4011,22809,ATF5
4012,80230,RUFY1
4013,445,ASS1
4014,5876,RABGGTB
4015,51517,NCKIPSD
4016,23219,FBXO28
4017,29765,TMOD4
4018,814,CAMK4
4019,81493,SYNC
4020,9459,ARHGEF6
4021,80712,ESX1
4022,55770,EXOC2
4023,9051,PSTPIP1
4024,10285,SMNDC1
4025,7555,CNBP
4026,55646,LYAR
4027,9578,CDC42BPB
4028,64431,ACTR6
4029,55061,SUSD4
4030,8626,TP63
4031,150094,SIK1
4032,8650,NUMB
4033,6814,STXBP3
4034,4799,NFX1
4035,1615,DARS
4036,6138,RPL15
4037,6141,RPL18
4038,5610,EIF2AK2
4039,6142,RPL18A
4040,4736,RPL10A
4041,9374,PPT2
4042,140801,RPL10L
4043,29937,NENF
4044,6231,RPS26
4045,6224,RPS20
4046,6207,RPS13
4047,6133,RPL9
4048,6130,RPL7A
4049,6129,RPL7
4050,6125,RPL5
4051,6175,RPLP0
4052,6161,RPL32
4053,6134,RPL10
4054,6139,RPL17
4055,27229,TUBGCP4
4056,11190,CEP250
4057,83759,RBM4B
4058,22890,ZBTB1
4059,6835,SURF2
4060,55771,PRR11
4061,23521,RPL13A
4062,51121,RPL26L1
4063,6155,RPL27
4064,6204,RPS10
4065,6506,SLC1A2
4066,6203,RPS9
4067,6156,RPL30
4068,6176,RPLP1
4069,6165,RPL35A
4070,6164,RPL34
4071,29927,SEC61A1
4072,64434,NOM1
4073,400506,KNOP1
4074,388569,ZNF324B
4075,7549,ZNF2
4076,3104,ZBTB48
4077,474,ATOH1
4078,139422,MAGEB10
4079,56342,PPAN
4080,23378,RRP8
4081,84549,MAK16
4082,155061,ZNF746
4083,168620,BHLHA15
4084,23212,RRS1
4085,54853,WDR55
4086,6730,SRP68
4087,9933,PUM3
4088,2967,GTF2H3
4089,2068,ERCC2
4090,2965,GTF2H1
4091,2968,GTF2H4
4092,25938,HEATR5A
4093,728340,GTF2H2C
4094,2267,FGL1
4095,404672,GTF2H5
4096,902,CCNH
4097,5917,RARS
4098,3376,IARS
4099,9521,EEF1E1
4100,51520,LARS
4101,7184,HSP90B1
4102,1965,EIF2S1
4103,4141,MARS
4104,1968,EIF2S3
4105,7407,VARS
4106,2058,EPRS
4107,23603,CORO1C
4108,57019,CIAPIN1
4109,9456,HOMER1
4110,79002,C19orf43
4111,4682,NUBP1
4112,5756,TWF1
4113,123283,TARSL2
4114,79165,LENG1
4115,7421,VDR
4116,5339,PLEC
4117,128710,SLX4IP
4118,55299,BRIX1
4119,593,BCKDHA
4120,10972,TMED10
4121,5430,POLR2A
4122,811,CALR
4123,56270,WDR45B
4124,83734,ATG10
4125,375,ARF1
4126,54958,TMEM160
4127,83452,RAB33B
4128,6737,TRIM21
4129,96459,FNIP1
4130,55119,PRPF38B
4131,1933,EEF1B2
4132,64422,ATG3
4133,6637,SNRPG
4134,6635,SNRPE
4135,1891,ECH1
4136,3851,KRT4
4137,1266,CNN3
4138,56267,KYAT3
4139,374454,KRT77
4140,509,ATP5C1
4141,5055,SERPINB2
4142,3996,LLGL1
4143,7051,TGM1
4144,4191,MDH2
4145,217,ALDH2
4146,23225,NUP210
4147,6282,S100A11
4148,4521,NUDT1
4149,497661,C18orf32
4150,79876,UBA5
4151,3959,LGALS3BP
4152,23130,ATG2A
4153,3251,HPRT1
4154,26156,RSL1D1
4155,11097,NUPL2
4156,9343,EFTUD2
4157,10130,PDIA6
4158,28299,IGKV1-5
4159,6389,SDHA
4160,5224,PGAM2
4161,2631,GBAS
4162,57492,ARID1B
4163,55213,RCBTB1
4164,79443,FYCO1
4165,5476,CTSA
4166,126638,RPTN
4167,1558,CYP2C8
4168,1650,DDOST
4169,7072,TIA1
4170,10082,GPC6
4171,51350,KRT76
4172,10549,PRDX4
4173,874,CBR3
4174,23558,WBP2
4175,539,ATP5O
4176,10632,ATP5L
4177,1737,DLAT
4178,5217,PFN2
4179,23192,ATG4B
4180,137994,LETM2
4181,55015,PRPF39
4182,3030,HADHA
4183,89890,KBTBD6
4184,11137,PWP1
4185,6711,SPTBN1
4186,7073,TIAL1
4187,57819,LSM2
4188,2155,F7
4189,1917,EEF1A2
4190,1503,CTPS1
4191,11186,RASSF1
4192,4666,NACA
4193,4172,MCM3
4194,3615,IMPDH2
4195,5584,PRKCI
4196,91754,NEK9
4197,5304,PIP
4198,9706,ULK2
4199,5358,PLS3
4200,10427,SEC24B
4201,1984,EIF5A
4202,2997,GYS1
4203,178,AGL
4204,3850,KRT3
4205,9119,KRT75
4206,270,AMPD1
4207,6390,SDHB
4208,5630,PRPH
4209,1399,CRKL
4210,6742,SSBP1
4211,8987,STBD1
4212,5641,LGMN
4213,25797,QPCT
4214,1466,CSRP2
4215,8218,CLTCL1
4216,161582,DYX1C1
4217,3501,IGHG2
4218,2992,GYG1
4219,140576,S100A16
4220,8340,HIST1H2BL
4221,79026,AHNAK
4222,3843,IPO5
4223,3028,HSD17B10
4224,7448,VTN
4225,7018,TF
4226,192666,KRT24
4227,1476,CSTB
4228,5275,SERPINB13
4229,54749,EPDR1
4230,7417,VDAC2
4231,23350,U2SURP
4232,2026,ENO2
4233,1973,EIF4A1
4234,6631,SNRPC
4235,2923,PDIA3
4236,376267,RAB15
4237,5393,EXOSC9
4238,307,ANXA4
4239,223,ALDH9A1
4240,1019,CDK4
4241,224,ALDH3A2
4242,9685,CLINT1
4243,63891,RNF123
4244,59,ACTA2
4245,4282,MIF
4246,84790,TUBA1C
4247,4522,MTHFD1
4248,135112,NCOA7
4249,51479,ANKFY1
4250,34,ACADM
4251,4697,NDUFA4
4252,55714,TENM3
4253,55920,RCC2
4254,6628,SNRPB
4255,54734,RAB39A
4256,23112,TNRC6B
4257,1824,DSC2
4258,6748,SSR4
4259,1192,CLIC1
4260,57002,YAE1D1
4261,79036,KXD1
4262,6428,SRSF3
4263,51495,HACD3
4264,23215,PRRC2C
4265,27288,RBMXL2
4266,55357,TBC1D2
4267,125058,TBC1D16
4268,23061,TBC1D9B
4269,51256,TBC1D7
4270,23216,TBC1D1
4271,23158,TBC1D9
4272,26000,TBC1D10B
4273,83874,TBC1D10A
4274,9910,RABGAP1L
4275,9779,TBC1D5
4276,665,BNIP3L
4277,225689,MAPK15
4278,113146,AHNAK2
4279,84971,ATG4D
4280,162427,FAM134C
4281,57147,SCYL3
4282,115201,ATG4A
4283,139341,FUNDC1
4284,23001,WDFY3
4285,4210,MEFV
4286,26276,VPS33B
4287,51776,MAP3K20
4288,63894,VIPAS39
4289,27131,SNX5
4290,55737,VPS35
4291,7919,DDX39B
4292,51699,VPS29
4293,6744,SSFA2
4294,254773,LYG2
4295,170622,COMMD6
4296,1212,CLTB
4297,8785,MATN4
4298,8943,AP3D1
4299,85463,ZC3H12C
4300,3656,IRAK2
4301,4589,MUC7
4302,49860,CRNN
4303,3494,IGHA2
4304,124220,ZG16B
4305,1470,CST2
4306,1472,CST4
4307,276,AMY1A
4308,218,ALDH3A1
4309,64769,MEAF6
4310,54556,ING3
4311,51147,ING4
4312,84289,ING5
4313,79960,JADE1
4314,86,ACTL6A
4315,79666,PLEKHF2
4316,11143,KAT7
4317,3015,H2AFZ
4318,139628,FOXR2
4319,57159,TRIM54
4320,23641,LDOC1
4321,23338,JADE2
4322,283150,FOXR1
4323,10761,PLAC1
4324,4610,MYCL
4325,26122,EPC2
4326,27154,BRPF3
4327,221895,JAZF1
4328,7163,TPD52
4329,8295,TRRAP
4330,9493,KIF23
4331,9767,JADE3
4332,1613,DAPK3
4333,80314,EPC1
4334,54799,MBTD1
4335,23522,KAT6B
4336,55929,DMAP1
4337,57634,EP400
4338,91404,SESTD1
4339,10902,BRD8
4340,7572,ZNF24
4341,8894,EIF2S2
4342,6811,STX5
4343,6943,TCF21
4344,55274,PHF10
4345,10200,MPHOSPH6
4346,54544,CRCT1
4347,114034,TOE1
4348,53942,CNTN5
4349,5067,CNTN3
4350,152330,CNTN4
4351,10418,SPON1
4352,23678,SGK3
4353,84060,RBM48
4354,5908,RAP1B
4355,3117,HLA-DQA1
4356,4332,MNDA
4357,22871,NLGN1
4358,9378,NRXN1
4359,9379,NRXN2
4360,9369,NRXN3
4361,54413,NLGN3
4362,4161,MC5R
4363,5443,POMC
4364,434,ASIP
4365,181,AGRP
4366,56246,MRAP
4367,84058,WDR54
4368,246329,STAC3
4369,127700,OSCP1
4370,51072,MEMO1
4371,51172,NAGPA
4372,8908,GYG2
4373,91653,BOC
4374,10600,USP16
4375,390928,ACP7
4376,10143,CLEC3A
4377,1756,DMD
4378,389812,LCN15
4379,27301,APEX2
4380,64419,MTMR14
4381,10691,GMEB1
4382,54765,TRIM44
4383,51127,TRIM17
4384,10107,TRIM10
4385,140691,TRIM69
4386,583,BBS2
4387,582,BBS1
4388,81559,TRIM11
4389,27241,BBS9
4390,374860,ANKRD30B
4391,80071,CCDC15
4392,55787,TXLNG
4393,55471,NDUFAF7
4394,55133,SRBD1
4395,54934,KANSL2
4396,168374,ZNF92
4397,56987,BBX
4398,10116,FEM1B
4399,57062,DDX24
4400,9534,ZNF254
4401,7644,ZNF91
4402,53834,FGFRL1
4403,7259,TSPYL1
4404,65244,SPATS2
4405,117154,DACH2
4406,79828,METTL8
4407,79830,ZMYM1
4408,91107,TRIM47
4409,221154,MICU2
4410,388561,ZNF761
4411,126,ADH1C
4412,64131,XYLT1
4413,125,ADH1B
4414,51194,IPO11
4415,84812,PLCD4
4416,11156,PTP4A3
4417,23612,PHLDA3
4418,10611,PDLIM5
4419,10226,PLIN3
4420,1810,DR1
4421,4026,LPP
4422,10095,ARPC1B
4423,16,AARS
4424,813,CALU
4425,4234,METTL1
4426,3267,AGFG1
4427,55233,MOB1A
4428,64805,P2RY12
4429,10161,LPAR6
4430,682,BSG
4431,5733,PTGER3
4432,10673,TNFSF13B
4433,140,ADORA3
4434,84970,C1orf94
4435,6327,SCN2B
4436,970,CD70
4437,55248,TMEM206
4438,187,APLNR
4439,284369,SIGLECL1
4440,11211,FZD10
4441,6564,SLC15A1
4442,3358,HTR2C
4443,29926,GMPPA
4444,29925,GMPPB
4445,1039,CDR2
4446,51691,LSM8
4447,1401,CRP
4448,685,BTC
4449,57144,PAK5
4450,2139,EYA2
4451,80117,ARL14
4452,120534,ARL14EP
4453,23550,PSD4
4454,8394,PIP5K1A
4455,7327,UBE2G2
4456,81622,UNC93B1
4457,57142,RTN4
4458,91663,MYADM
4459,91452,ACBD5
4460,5832,ALDH18A1
4461,5654,HTRA1
4462,5965,RECQL
4463,5256,PHKA2
4464,5099,PCDH7
4465,4259,MGST3
4466,4698,NDUFA5
4467,4695,NDUFA2
4468,4702,NDUFA8
4469,4707,NDUFB1
4470,4713,NDUFB7
4471,4714,NDUFB8
4472,4710,NDUFB4
4473,4728,NDUFS8
4474,4729,NDUFV2
4475,4725,NDUFS5
4476,4722,NDUFS3
4477,4720,NDUFS2
4478,4921,DDR2
4479,80346,REEP4
4480,3977,LIFR
4481,3930,LBR
4482,3956,LGALS1
4483,3895,KTN1
4484,81537,SGPP1
4485,90809,TMEM55B
4486,30968,STOML2
4487,2109,ETFB
4488,2135,EXTL2
4489,337867,UBAC2
4490,966,CD59
4491,537,ATP6AP1
4492,522,ATP5J
4493,529,ATP6V1E1
4494,9052,GPRC5A
4495,11104,KATNA1
4496,9114,ATP6V0D1
4497,9217,VAPB
4498,9213,XPR1
4499,9429,ABCG2
4500,9536,PTGES
4501,9554,SEC22B
4502,9550,ATP6V1G1
4503,9761,MLEC
4504,9780,PIEZO1
4505,9789,SPCS2
4506,79143,MBOAT7
4507,79073,TMEM109
4508,10016,PDCD6
4509,7852,CXCR4
4510,23052,ENDOD1
4511,10134,BCAP31
4512,7416,VDAC1
4513,7384,UQCRC1
4514,79901,CYBRD1
4515,93380,MMGT1
4516,10312,TCIRG1
4517,10613,ERLIN1
4518,10567,RABAC1
4519,7167,TPI1
4520,6646,SOAT1
4521,6645,SNTB2
4522,54480,CHPF2
4523,54407,SLC38A2
4524,54927,CHCHD3
4525,25979,DHRS7B
4526,25978,CHMP2B
4527,25777,SUN2
4528,26509,MYOF
4529,55848,PLGRKT
4530,55967,NDUFA12
4531,55735,DNAJC11
4532,112464,PRKCDBP
4533,387263,C6orf120
4534,28990,ASTE1
4535,57701,NCKAP5L
4536,57498,KIDINS220
4537,147007,TMEM199
4538,1186,CLCN7
4539,84317,CCDC115
4540,84303,CHCHD6
4541,1368,CPM
4542,1327,COX4I1
4543,1537,CYC1
4544,1829,DSG2
4545,284119,PTRF
4546,51606,ATP6V1H
4547,51439,FAM8A1
4548,51382,ATP6V1D
4549,285282,RABL3
4550,83590,TMUB1
4551,375035,SFT2D2
4552,51669,SARAF
4553,64859,NABP1
4554,7905,REEP5
4555,65062,TMEM237
4556,65991,FUNDC2
4557,64928,MRPL14
4558,114882,OSBPL8
4559,161291,TMEM30B
4560,9124,PDLIM1
4561,140901,STK35
4562,55750,AGK
4563,9489,PGS1
4564,9252,RPS6KA5
4565,6827,SUPT4H1
4566,51132,RLIM
4567,87178,PNPT1
4568,1207,CLNS1A
4569,10425,ARIH2
4570,89,ACTN3
4571,83594,NUDT12
4572,29098,RANGRF
4573,79791,FBXO31
4574,8682,PEA15
4575,6197,RPS6KA3
4576,818,CAMK2G
4577,5337,PLD1
4578,8772,FADD
4579,27429,HTRA2
4580,3897,L1CAM
4581,5826,ABCD4
4582,55229,PANK4
4583,221264,AK9
4584,5170,PDPK1
4585,6491,STIL
4586,5361,PLXNA1
4587,5364,PLXNB1
4588,8829,NRP1
4589,29984,RHOD
4590,80031,SEMA6D
4591,3791,KDR
4592,4884,NPTX1
4593,6901,TAZ
4594,84866,TMEM25
4595,124583,CANT1
4596,25834,MGAT4C
4597,7903,ST8SIA4
4598,151647,FAM19A4
4599,84134,TOMM40L
4600,81876,RAB1B
4601,125061,AFMID
4602,51188,SS18L2
4603,81789,TIGD6
4604,51750,RTEL1
4605,57169,ZNFX1
4606,55249,YY1AP1
4607,57585,CRAMP1
4608,3135,HLA-G
4609,6890,TAP1
4610,6891,TAP2
4611,1315,COPB1
4612,3824,KLRD1
4613,10859,LILRB1
4614,10288,LILRB2
4615,3805,KIR2DL4
4616,3105,HLA-A
4617,3821,KLRC1
4618,3822,KLRC2
4619,84293,FAM213A
4620,3134,HLA-F
4621,79818,ZNF552
4622,5341,PLEK
4623,3632,INPP5A
4624,90,ACVR1
4625,7057,THBS1
4626,2162,F13A1
4627,8436,SDPR
4628,5196,PF4
4629,58480,RHOU
4630,84128,WDR75
4631,58488,PCTP
4632,55856,ACOT13
4633,79705,LRRK1
4634,22999,RIMS1
4635,4069,LYZ
4636,6655,SOS2
4637,6251,RSU1
4638,11184,MAP4K1
4639,3635,INPP5D
4640,60313,GPBP1L1
4641,79748,LMAN1L
4642,2046,EPHA8
4643,4145,MATK
4644,2781,GNAZ
4645,1114,CHGB
4646,84309,NUDT16L1
4647,7425,VGF
4648,27086,FOXP1
4649,339669,TEX33
4650,9686,VGLL4
4651,83737,ITCH
4652,5979,RET
4653,2324,FLT4
4654,51504,TRMT112
4655,51503,CWC15
4656,114609,TIRAP
4657,157807,CLVS1
4658,56924,PAK6
4659,8796,SCEL
4660,56243,KIAA1217
4661,63915,BLOC1S5
4662,51429,SNX9
4663,10602,CDC42EP3
4664,22980,TCF25
4665,6366,CCL21
4666,5495,PPM1B
4667,57107,PDSS2
4668,117145,THEM4
4669,163081,ZNF567
4670,171483,FAM9B
4671,64374,SIL1
4672,896,CCND3
4673,112937,GLB1L3
4674,5203,PFDN4
4675,8506,CNTNAP1
4676,7373,COL14A1
4677,26098,EDRF1
4678,51290,ERGIC2
4679,89778,SERPINB11
4680,138716,RPP25L
4681,9181,ARHGEF2
4682,10775,POP4
4683,10248,POP7
4684,25998,IBTK
4685,54737,MPHOSPH8
4686,10556,RPP30
4687,25871,NEPRO
4688,5936,RBM4
4689,83608,C18orf21
4690,79897,RPP21
4691,10417,SPON2
4692,3881,KRT31
4693,114757,CYGB
4694,414301,DDI1
4695,65988,ZNF747
4696,11274,USP18
4697,3455,IFNAR2
4698,51780,KDM3B
4699,373856,USP41
4700,28978,TMEM14A
4701,63943,FKBPL
4702,8925,HERC1
4703,5289,PIK3C3
4704,22863,ATG14
4705,3551,IKBKB
4706,84433,CARD11
4707,340061,TMEM173
4708,23118,TAB2
4709,284439,SLC25A42
4710,55355,HJURP
4711,51087,YBX2
4712,8487,GEMIN2
4713,51096,UTP18
4714,94104,PAXBP1
4715,23405,DICER1
4716,79596,RNF219
4717,55291,PPP6R3
4718,283248,RCOR2
4719,5431,POLR2B
4720,134430,WDR36
4721,489,ATP2A3
4722,1736,DKC1
4723,6936,GCFC2
4724,2119,ETV5
4725,861,RUNX1
4726,3550,IK
4727,64399,HHIP
4728,56897,WRNIP1
4729,55813,UTP6
4730,10051,SMC4
4731,55696,RBM22
4732,79902,NUP85
4733,55131,RBM28
4734,81570,CLPB
4735,84916,UTP4
4736,9093,DNAJA3
4737,5954,RCN1
4738,29028,ATAD2
4739,50628,GEMIN4
4740,10985,GCN1
4741,54663,WDR74
4742,51144,HSD17B12
4743,5925,RB1
4744,26993,AKAP8L
4745,24148,PRPF6
4746,6651,SON
4747,9031,BAZ1B
4748,11218,DDX20
4749,8079,MLF2
4750,8540,AGPS
4751,23224,SYNE2
4752,10274,STAG1
4753,55622,TTC27
4754,23077,MYCBP2
4755,79568,MAIP1
4756,10049,DNAJB6
4757,55746,NUP133
4758,1374,CPT1A
4759,8897,MTMR3
4760,51319,RSRC1
4761,262,AMD1
4762,120,ADD3
4763,57020,C16orf62
4764,23277,CLUH
4765,26031,OSBPL3
4766,79745,CLIP4
4767,5510,PPP1R7
4768,23683,PRKD3
4769,6495,SIX1
4770,54916,TMEM260
4771,7135,TNNI1
4772,79956,ERMP1
4773,401152,C4orf3
4774,2564,GABRE
4775,23632,CA14
4776,2823,GPM6A
4777,55283,MCOLN3
4778,353174,ZACN
4779,9293,GPR52
4780,3359,HTR3A
4781,6339,SCNN1D
4782,11045,UPK1A
4783,2844,GPR21
4784,7434,VIPR2
4785,8797,TNFRSF10A
4786,11155,LDB3
4787,5881,RAC3
4788,57586,SYT13
4789,27314,RAB30
4790,1122,CHML
4791,1801,DPH1
4792,5875,RABGGTA
4793,3993,LLGL2
4794,51399,TRAPPC4
4795,83696,TRAPPC9
4796,54887,UHRF1BP1
4797,54832,VPS13C
4798,728294,D2HGDH
4799,7109,TRAPPC10
4800,7511,XPNPEP1
4801,7375,USP4
4802,474383,F8A2
4803,25839,COG4
4804,26525,IL36RN
4805,4175,MCM6
4806,6237,RRAS
4807,10929,SRSF8
4808,92421,CHMP4C
4809,29082,CHMP4A
4810,54862,CC2D1A
4811,3493,IGHA1
4812,9101,USP8
4813,159195,USP54
4814,91782,CHMP7
4815,2736,GLI2
4816,2737,GLI3
4817,51222,ZNF219
4818,25897,RNF19A
4819,27148,STK36
4820,58526,MID1IP1
4821,55663,ZNF446
4822,92595,ZNF764
4823,55670,PEX26
4824,169792,GLIS3
4825,57333,RCN3
4826,3958,LGALS3
4827,139324,HDX
4828,55138,FAM90A1
4829,64839,FBXL17
4830,219,ALDH1B1
4831,51601,LIPT1
4832,753,LDLRAD4
4833,11248,NXPH3
4834,26140,TTLL3
4835,9695,EDEM1
4836,5017,OVOL1
4837,84695,LOXL3
4838,146540,ZNF785
4839,652,BMP4
4840,8419,BFSP2
4841,90025,UBE3D
4842,196441,ZFC3H1
4843,5106,PCK2
4844,55282,LRRC36
4845,283459,GATC
4846,57122,NUP107
4847,9918,NCAPD2
4848,2926,GRSF1
4849,81889,FAHD1
4850,27068,PPA2
4851,3155,HMGCL
4852,26046,LTN1
4853,79072,FASTKD3
4854,9238,TBRG4
4855,145264,SERPINA12
4856,513,ATP5D
4857,10959,TMED2
4858,79643,CHMP6
4859,54902,TTC19
4860,51510,CHMP5
4861,51652,CHMP3
4862,8621,CDK13
4863,6888,TALDO1
4864,79180,EFHD2
4865,1633,DCK
4866,5902,RANBP1
4867,3417,IDH1
4868,159,ADSS
4869,54108,CHRAC1
4870,23534,TNPO3
4871,4800,NFYA
4872,83461,CDCA3
4873,151188,ARL6IP6
4874,25806,VAX2
4875,55109,AGGF1
4876,8742,TNFSF12
4877,55906,ZC4H2
4878,10590,SCGN
4879,64326,RFWD2
4880,4308,TRPM1
4881,139818,DOCK11
4882,2644,GCHFR
4883,58504,ARHGAP22
4884,8562,DENR
4885,80007,C10orf88
4886,23657,SLC7A11
4887,570,BAAT
4888,6520,SLC3A2
4889,10781,ZNF266
4890,10253,SPRY2
4891,3846,KRTAP5-9
4892,23677,SH3BP4
4893,23178,PASK
4894,8788,DLK1
4895,9120,SLC16A6
4896,55422,ZNF331
4897,5360,PLTP
4898,23439,ATP1B4
4899,57552,NCEH1
4900,162993,ZNF846
4901,5394,EXOSC10
4902,25911,DPCD
4903,2222,FDFT1
4904,8780,RIOK3
4905,1777,DNASE2
4906,8537,BCAS1
4907,55231,CCDC87
4908,11325,DDX42
4909,5984,RFC4
4910,10847,SRCAP
4911,741,ZNHIT2
4912,121053,C12orf45
4913,9125,CNOT9
4914,1785,DNM2
4915,4798,NFRKB
4916,29844,TFPT
4917,283899,INO80E
4918,54039,PCBP3
4919,93973,ACTR8
4920,5395,PMS2
4921,4791,NFKB2
4922,10467,ZNHIT1
4923,83444,INO80B
4924,352954,GATS
4925,54891,INO80D
4926,57088,PLSCR4
4927,54617,INO80
4928,8764,TNFRSF14
4929,192669,AGO3
4930,4176,MCM7
4931,26054,SENP6
4932,56998,CTNNBIP1
4933,29843,SENP1
4934,125476,INO80C
4935,2091,FBL
4936,84284,NTPCR
4937,80700,UBXN6
4938,8467,SMARCA5
4939,25895,METTL21B
4940,5321,PLA2G4A
4941,9701,PPP6R2
4942,3985,LIMK2
4943,201299,RDM1
4944,5506,PPP1R3A
4945,388389,CCDC103
4946,25885,POLR1A
4947,79711,IPO4
4948,79659,DYNC2H1
4949,392,ARHGAP1
4950,1407,CRY1
4951,29767,TMOD2
4952,10428,CFDP1
4953,57175,CORO1B
4954,58499,ZNF462
4955,51412,ACTL6B
4956,55118,CRTAC1
4957,79047,KCTD15
4958,84254,CAMKK1
4959,123872,DNAAF1
4960,63929,XPNPEP3
4961,57037,ANKMY2
4962,840,CASP7
4963,10988,METAP2
4964,6895,TARBP2
4965,79706,PRKRIP1
4966,8575,PRKRA
4967,3716,JAK1
4968,1998,ELF2
4969,28988,DBNL
4970,8338,HIST2H2AC
4971,115098,CCDC124
4972,26354,GNL3
4973,2193,FARSA
4974,3475,IFRD1
4975,79132,DHX58
4976,23560,GTPBP4
4977,23567,ZNF346
4978,54472,TOLLIP
4979,27067,STAU2
4980,343069,HNRNPCL1
4981,56915,EXOSC5
4982,57619,SHROOM3
4983,3007,HIST1H1D
4984,3575,IL7R
4985,84298,LLPH
4986,7443,VRK1
4987,8886,DDX18
4988,1543,CYP1A1
4989,113130,CDCA5
4990,91748,ELMSAN1
4991,950,SCARB2
4992,28992,MACROD1
4993,132141,IQCF1
4994,2882,GPX7
4995,5723,PSPH
4996,7094,TLN1
4997,22927,HABP4
4998,26065,LSM14A
4999,5576,PRKAR2A
5000,4849,CNOT3
5001,159163,RBMY1F
5002,5940,RBMY1A1
5003,54469,ZFAND6
5004,4998,ORC1
5005,4677,NARS
5006,149041,RC3H1
5007,55352,COPRS
5008,54935,DUSP23
5009,83732,RIOK1
5010,391356,PTRHD1
5011,221477,C6orf89
5012,404281,YY2
5013,7291,TWIST1
5014,4008,LMO7
5015,51608,GET4
5016,55831,EMC3
5017,8085,KMT2D
5018,55379,LRRC59
5019,9694,EMC2
5020,5650,KLK7
5021,6185,RPN2
5022,6836,SURF4
5023,81502,HM13
5024,54732,TMED9
5025,11021,RAB35
5026,199953,TMEM201
5027,23065,EMC1
5028,51449,PCYOX1
5029,51200,CPA4
5030,51807,TUBA8
5031,1209,CLPTM1
5032,2010,EMD
5033,9262,STK17B
5034,10246,SLC17A2
5035,54910,SEMA4C
5036,10755,GIPC1
5037,23154,NCDN
5038,81833,SPACA1
5039,55754,TMEM30A
5040,25898,RCHY1
5041,11326,VSIG4
5042,483,ATP1B3
5043,944,TNFSF8
5044,650,BMP2
5045,655,BMP7
5046,2022,ENG
5047,2339,FNTA
5048,3624,INHBA
5049,3625,INHBB
5050,3547,IGSF1
5051,8200,GDF5
5052,3626,INHBC
5053,4090,SMAD5
5054,6256,RXRA
5055,1123,CHN1
5056,55120,FANCL
5057,84085,FBXO30
5058,23149,FCHO1
5059,55785,FGD6
5060,284086,NEK8
5061,28512,NKIRAS1
5062,4893,NRAS
5063,58473,PLEKHB1
5064,55111,PLEKHJ1
5065,64284,RAB17
5066,5865,RAB3B
5067,23551,RASD2
5068,51285,RASL12
5069,121268,RHEBL1
5070,57381,RHOJ
5071,22800,RRAS2
5072,9306,SOCS6
5073,9482,STX8
5074,55761,TTC17
5075,79674,VEPH1
5076,80349,WDR61
5077,283212,KLHL35
5078,659,BMPR2
5079,92,ACVR2A
5080,4091,SMAD6
5081,25805,BAMBI
5082,657,BMPR1A
5083,94,ACVRL1
5084,10025,MED16
5085,57655,GRAMD1A
5086,284996,RNF149
5087,84125,LRRIQ1
5088,51293,CD320
5089,402665,IGLON5
5090,10391,CORO2B
5091,196383,RILPL2
5092,10040,TOM1L1
5093,55697,VAC14
5094,5662,PSD
5095,9890,PLPPR4
5096,79020,C7orf25
5097,54936,ADPRHL2
5098,51143,DYNC1LI1
5099,4085,MAD2L1
5100,9590,AKAP12
5101,3646,EIF3E
5102,83658,DYNLRB1
5103,1783,DYNC1LI2
5104,1781,DYNC1I2
5105,7296,TXNRD1
5106,6990,DYNLT3
5107,1780,DYNC1I1
5108,84196,USP48
5109,5048,PAFAH1B1
5110,83707,TRPT1
5111,25966,C2CD2
5112,120114,FAT3
5113,6259,RYK
5114,339983,NAT8L
5115,10212,DDX39A
5116,285605,DTWD2
5117,208,AKT2
5118,123775,C16orf46
5119,5669,PSG1
5120,6375,XCL1
5121,644591,PPIAL4G
5122,79740,ZBBX
5123,122616,C14orf79
5124,27120,DKKL1
5125,149069,DCDC2B
5126,51122,COMMD2
5127,132014,IL17RE
5128,152816,C4orf26
5129,3972,LHB
5130,1081,CGA
5131,3973,LHCGR
5132,144811,LACC1
5133,115939,TSR3
5134,54482,TRMT13
5135,2101,ESRRA
5136,4760,NEUROD1
5137,6603,SMARCD2
5138,79814,AGMAT
5139,9275,BCL7B
5140,112714,TUBA3E
5141,3514,IGKC
5142,9524,TECR
5143,112479,ERI2
5144,56521,DNAJC12
5145,81844,TRIM56
5146,91304,TMEM259
5147,26505,CNNM3
5148,57003,CCDC47
5149,201595,STT3B
5150,23516,SLC39A14
5151,2181,ACSL3
5152,3703,STT3A
5153,81037,CLPTM1L
5154,8879,SGPL1
5155,4864,NPC1
5156,7105,TSPAN6
5157,7564,ZNF16
5158,9868,TOMM70
5159,2182,ACSL4
5160,3661,IRF3
5161,79102,RNF26
5162,25862,USP49
5163,373509,USP50
5164,57558,USP35
5165,23326,USP22
5166,8975,USP13
5167,9960,USP3
5168,10083,USH1C
5169,4647,MYO7A
5170,64072,CDH23
5171,124590,USH1G
5172,257629,ANKS4B
5173,7317,UBA1
5174,113174,SAAL1
5175,145282,MIPOL1
5176,8727,CTNNAL1
5177,53841,CDHR5
5178,54825,CDHR2
5179,4648,MYO7B
5180,2873,GPS1
5181,7399,USH2A
5182,9497,SLC4A7
5183,84059,ADGRV1
5184,8928,FOXH1
5185,63904,DUSP21
5186,6570,SLC18A1
