0.0,0.0,1.0,255,255,0,100,node0;vertex
0.0,0.0,0.0,255,255,0,100,node1;vertex
1.0,0.0,0.0,255,255,0,100,node2;vertex
1.0,0.0,1.0,255,255,0,100,node3;vertex
0.0,1.0,1.0,255,255,0,100,node4;vertex
1.0,1.0,1.0,255,255,0,100,node5;vertex
1.0,1.0,0.0,255,255,0,100,node6;vertex
0.0,1.0,0.0,255,255,0,100,node7;vertex
0.52994,0.511634,0.812959,255,255,0,100,node8;vertex
0.52994,0.511449,0.809192,255,255,0,100,node9;vertex
0.529571,0.511449,0.8092100000000001,255,255,0,100,node10;vertex
0.5292049999999999,0.511449,0.809264,255,255,0,100,node11;vertex
0.528846,0.511449,0.809354,255,255,0,100,node12;vertex
0.528498,0.511449,0.809478,255,255,0,100,node13;vertex
0.528164,0.511449,0.809637,255,255,0,100,node14;vertex
0.527847,0.511449,0.809827,255,255,0,100,node15;vertex
0.52755,0.511449,0.810047,255,255,0,100,node16;vertex
0.527276,0.511449,0.810295,255,255,0,100,node17;vertex
0.5270279999999999,0.511449,0.810569,255,255,0,100,node18;vertex
0.5268079999999999,0.511449,0.8108660000000001,255,255,0,100,node19;vertex
0.526618,0.511449,0.8111830000000001,255,255,0,100,node20;vertex
0.52646,0.511449,0.811517,255,255,0,100,node21;vertex
0.526335,0.511449,0.811865,255,255,0,100,node22;vertex
0.526245,0.511449,0.812224,255,255,0,100,node23;vertex
0.5261910000000001,0.511449,0.812589,255,255,0,100,node24;vertex
0.526173,0.511449,0.812959,255,255,0,100,node25;vertex
0.5261910000000001,0.511449,0.813328,255,255,0,100,node26;vertex
0.526245,0.511449,0.813694,255,255,0,100,node27;vertex
0.526335,0.511449,0.8140520000000001,255,255,0,100,node28;vertex
0.52646,0.511449,0.8144,255,255,0,100,node29;vertex
0.526618,0.511449,0.814734,255,255,0,100,node30;vertex
0.5268079999999999,0.511449,0.815052,255,255,0,100,node31;vertex
0.5270279999999999,0.511449,0.8153480000000001,255,255,0,100,node32;vertex
0.527276,0.511449,0.8156220000000001,255,255,0,100,node33;vertex
0.52755,0.511449,0.8158709999999999,255,255,0,100,node34;vertex
0.527847,0.511449,0.816091,255,255,0,100,node35;vertex
0.528164,0.511449,0.816281,255,255,0,100,node36;vertex
0.528498,0.511449,0.816439,255,255,0,100,node37;vertex
0.528846,0.511449,0.816563,255,255,0,100,node38;vertex
0.5292049999999999,0.511449,0.8166530000000001,255,255,0,100,node39;vertex
0.529571,0.511449,0.816708,255,255,0,100,node40;vertex
0.52994,0.511449,0.8167260000000001,255,255,0,100,node41;vertex
0.530309,0.511449,0.816708,255,255,0,100,node42;vertex
0.530675,0.511449,0.8166530000000001,255,255,0,100,node43;vertex
0.531033,0.511449,0.816563,255,255,0,100,node44;vertex
0.531381,0.511449,0.816439,255,255,0,100,node45;vertex
0.531716,0.511449,0.816281,255,255,0,100,node46;vertex
0.532033,0.511449,0.816091,255,255,0,100,node47;vertex
0.53233,0.511449,0.8158709999999999,255,255,0,100,node48;vertex
0.532603,0.511449,0.8156220000000001,255,255,0,100,node49;vertex
0.532852,0.511449,0.8153480000000001,255,255,0,100,node50;vertex
0.533072,0.511449,0.815052,255,255,0,100,node51;vertex
0.533262,0.511449,0.814734,255,255,0,100,node52;vertex
0.53342,0.511449,0.8144,255,255,0,100,node53;vertex
0.533545,0.511449,0.8140520000000001,255,255,0,100,node54;vertex
0.5336339999999999,0.511449,0.813694,255,255,0,100,node55;vertex
0.533689,0.511449,0.813328,255,255,0,100,node56;vertex
0.533707,0.511449,0.812959,255,255,0,100,node57;vertex
0.533689,0.511449,0.81259,255,255,0,100,node58;vertex
0.5336339999999999,0.511449,0.812224,255,255,0,100,node59;vertex
0.533545,0.511449,0.811865,255,255,0,100,node60;vertex
0.53342,0.511449,0.811517,255,255,0,100,node61;vertex
0.533262,0.511449,0.8111830000000001,255,255,0,100,node62;vertex
0.533072,0.511449,0.8108660000000001,255,255,0,100,node63;vertex
0.532852,0.511449,0.810569,255,255,0,100,node64;vertex
0.532603,0.511449,0.810295,255,255,0,100,node65;vertex
0.53233,0.511449,0.810047,255,255,0,100,node66;vertex
0.532033,0.511449,0.809827,255,255,0,100,node67;vertex
0.531716,0.511449,0.809637,255,255,0,100,node68;vertex
0.531381,0.511449,0.809478,255,255,0,100,node69;vertex
0.531033,0.511449,0.809354,255,255,0,100,node70;vertex
0.530675,0.511449,0.809264,255,255,0,100,node71;vertex
0.530309,0.511449,0.8092100000000001,255,255,0,100,node72;vertex
